Team,Variable,ADF Statistic,p-value
Montpellier HSC,Return on Equity,-1.9967393669904034,0.28800460068114564
Montpellier HSC,Goal Ratio,-0.363274792131598,0.9160523585420901
Nantes,League Standing,-2.1122354181147664,0.23962322572460776
Nantes,Net Profit Margin,-1.5357202139617228,0.5157729189151035
Nantes,Firm Size,-3.646632391384324,0.004929608506768111
Nantes,Leverage,-2.1299356986799225,0.23264888842945958
Nantes,Growth,-1.7856979984866979,0.3875850010101201
Nantes,Return on Equity,-1.865839957765162,0.3482976934465263
Nantes,Goal Ratio,-2.1214037562032817,0.23599558923076164
Napoli,League Standing,-1.5622669317698874,0.502515175880069
Napoli,Net Profit Margin,-0.3646913390852761,0.9158292440339055
Napoli,Firm Size,-1.9333417177030643,0.3165422791226622
Napoli,Leverage,-0.5531757302487128,0.8812153328815957
Napoli,Growth,-3.9779622545677418,0.0015304067768887456
Napoli,Return on Equity,0.14402095623454841,0.9689412336077161
Napoli,Goal Ratio,-1.7374026184116065,0.41195179733476006
Newcastle United,League Standing,-2.514474228374851,0.11199219068735183
Newcastle United,Net Profit Margin,-0.423731415262227,0.906060442550238
Newcastle United,Firm Size,-3.8681257026936056,0.0022823577534536676
Newcastle United,Leverage,-2.731312375717786,0.06877481531967643
Newcastle United,Growth,-1.3894947082149731,0.5873019966182129
Newcastle United,Return on Equity,-3.0454644475666885,0.030861248813215347
Newcastle United,Goal Ratio,-1.4900366104551206,0.5384342015507093
OGC Nice,League Standing,-3.6336104634371593,0.005150039534684389
OGC Nice,Net Profit Margin,1.1935930405719457,0.9959413168486793
OGC Nice,Firm Size,0.8707615974437356,0.9926966444065158
OGC Nice,Leverage,-1.5827564520363537,0.4922494690465128
OGC Nice,Growth,-2.1753347701202825,0.21531897628035374
OGC Nice,Return on Equity,83.68897139441421,1.0
OGC Nice,Goal Ratio,-1.360049257695154,0.6012721846119908
Olympique Lyonnais (Lyon),League Standing,-1.543361529060565,0.511962467809991
Olympique Lyonnais (Lyon),Net Profit Margin,-1.6392606866988026,0.46264713164026977
Olympique Lyonnais (Lyon),Firm Size,-1.2229762706783718,0.663634638938027
Olympique Lyonnais (Lyon),Leverage,0.3427298477862512,0.9792221791726279
Olympique Lyonnais (Lyon),Growth,-1.9548622011554881,0.3067081500033285
Olympique Lyonnais (Lyon),Return on Equity,-0.43751173752924766,0.9036447589232579
Olympique Lyonnais (Lyon),Goal Ratio,-2.9980288004666633,0.03507889602280662
Olympique de Marseille,League Standing,-3.999999999999999,0.0014105112530392633
Olympique de Marseille,Net Profit Margin,-0.8752053199108587,0.7960279752946271
Olympique de Marseille,Firm Size,-2.945485682787406,0.040308566932701156
Olympique de Marseille,Leverage,-1.6801075275536048,0.44138971705922825
Olympique de Marseille,Growth,-1.2884242303810174,0.6344514622795271
Olympique de Marseille,Return on Equity,-1.4631950512783647,0.5516333573831735
Olympique de Marseille,Goal Ratio,-4.621214505230093,0.00011802612171663301
Paris Saint-Germain (PSG),League Standing,-2.0000000000000004,0.28657309916843143
Paris Saint-Germain (PSG),Net Profit Margin,-0.4422163990027419,0.9028079656433151
Paris Saint-Germain (PSG),Firm Size,-4.901094291559558,3.470371900373081e-05
Paris Saint-Germain (PSG),Leverage,-0.2576646508115425,0.9312899485924875
Paris Saint-Germain (PSG),Growth,-1.3207621552153685,0.6196208891298419
Paris Saint-Germain (PSG),Return on Equity,0.702996856415677,0.9898974876187344
Paris Saint-Germain (PSG),Goal Ratio,-1.444651199240591,0.5606926259682505
RC Strasbourg Alsace,League Standing,-2.8115924784378628,0.05663684988659259
RC Strasbourg Alsace,Net Profit Margin,-1.5721479585881317,0.49756763401864873
RC Strasbourg Alsace,Firm Size,-1.8174675431187848,0.37182467315517076
RC Strasbourg Alsace,Leverage,-1.0457833086391979,0.7362019879976143
RC Strasbourg Alsace,Growth,-1.8920464739471459,0.3358119014023372
RC Strasbourg Alsace,Return on Equity,-1.6743127327980136,0.4443935448199959
RC Strasbourg Alsace,Goal Ratio,-2.756216431934815,0.06480521621752794
Real Betis,League Standing,-1.403639487321351,0.5805300641384156
Real Betis,Net Profit Margin,-0.7965254618902055,0.8201405568839479
Real Betis,Firm Size,-3.136472534291364,0.02396917863115099
Real Betis,Leverage,0.3274795448734608,0.9785706949763596
Real Betis,Growth,-2.2479870023474255,0.18929193514416198
Real Betis,Return on Equity,-2.308304155930728,0.16930370207088852
Real Betis,Goal Ratio,0.34584800478646827,0.979352906276404
Real Madrid,League Standing,-1.2909944487358058,0.6332822271382456
Real Madrid,Net Profit Margin,-1.2668909499670673,0.6441803938975329
Real Madrid,Firm Size,4.825367925224916,1.0
Real Madrid,Leverage,-0.6211040762520779,0.8661417123394214
Real Madrid,Growth,-10.665203233745023,4.30502810596885e-19
Real Madrid,Return on Equity,-1.2342868078383615,0.6586752859369083
Real Madrid,Goal Ratio,-1.691749774951923,0.43536817574365305
Roma,League Standing,-3.394514291136108,0.011147306627858096
Roma,Net Profit Margin,-0.4756338664613695,0.8966843186822218
Roma,Firm Size,-0.582365818312859,0.8749170518193305
Roma,Leverage,0.8628636509403288,0.9925860354026875
Roma,Growth,-4.582388654354751,0.00013917636463559637
Roma,Return on Equity,-1.3276783731489041,0.616416235406636
Roma,Goal Ratio,-4.552634025310134,0.00015778312873299436
Sampdoria,League Standing,-3.05,0.03048157480164239
Sampdoria,Net Profit Margin,-0.7867051426946196,0.8229961716667761
Sampdoria,Firm Size,-1.6500112459495708,0.4570345596698218
Sampdoria,Leverage,-1.8419747149960073,0.35983039204526657
Sampdoria,Growth,-1.9836881650159417,0.2937707489530661
Sampdoria,Return on Equity,-0.09454174564381303,0.949979490224575
Sampdoria,Goal Ratio,-2.1846533344850907,0.2118624847030775
Sassuolo,League Standing,-1.4142135623730947,0.5754433086874292
Sassuolo,Net Profit Margin,-1.8589645903809229,0.3516047052194754
Sassuolo,Firm Size,-6.87297130566682,1.4992038175225318e-09
Sassuolo,Leverage,-2.2430105483584697,0.1910069116427387
Sassuolo,Growth,-21.075299239708425,0.0
Sassuolo,Return on Equity,-1.8828077469144033,0.3401916058513404
Sassuolo,Goal Ratio,-3.423591573696572,0.010180450204848604
Sevilla,League Standing,-1.6250000000000004,0.47010897831451026
Sevilla,Net Profit Margin,-1.9697930488225062,0.299972786801711
Sevilla,Firm Size,-0.7810882202362301,0.8246142405604453
Sevilla,Leverage,0.5329330301586247,0.985840432866749
Sevilla,Growth,-1.7722217881965716,0.394337377661755
Sevilla,Return on Equity,-1.956649502414993,0.30589806678519105
Sevilla,Goal Ratio,-3.9540362461528042,0.0016712671948477086
Southampton,League Standing,-1.923581946314636,0.3210500238340499
Southampton,Net Profit Margin,-2.071460015339231,0.2561444109923385
Southampton,Firm Size,-0.31925726064151994,0.9227322992335631
Southampton,Leverage,-1.8352627077528878,0.3631005388311368
Southampton,Growth,-2.470340974856333,0.12285844764242354
Southampton,Return on Equity,-1.258783705514992,0.6478116799194122
Southampton,Goal Ratio,-1.562054231891421,0.502621608135812
Stade Rennais,League Standing,-2.6791839148598866,0.07771014533424096
Stade Rennais,Net Profit Margin,-0.29439201664987963,0.9262948436668738
Stade Rennais,Firm Size,-1.7642629959064828,0.39834283148700844
Stade Rennais,Leverage,-1.6244047071148966,0.4704208442805371
Stade Rennais,Growth,-6.189901561651218,6.158967956479945e-08
Stade Rennais,Return on Equity,-2.72859170998618,0.06921998145924411
Stade Rennais,Goal Ratio,-0.7937526593937355,0.820950292036187
Torino,League Standing,-1.386070782504243,0.5889354438566695
Torino,Net Profit Margin,-1.914284545131512,0.3253713359776393
Torino,Firm Size,-2.554232272308878,0.1028301918660604
Torino,Leverage,-0.7563845974301066,0.8315993642419827
Torino,Growth,-1.4161758649097773,0.5744971090258131
Torino,Return on Equity,-1.978393240752742,0.29612651861475536
Torino,Goal Ratio,-1.4678815548854813,0.5493358514153921
